seed,N_train,method,mlp_width,mlp_depth,mlp_lr,mlp_epochs,train_mse,test_mse_vs_f,max_error_vs_f,mse_vs_closed_form,max_error_vs_closed_form,L_hat,L_used
6,200,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,8.794645417125773e-07,1.9984878938013855e-06,0.007904173165590556,3.897645760417369e-05,0.030413105681763475,5.205547825990701,5.7261026085897715
7,200,Closed-form,,,,,0.0,5.208520726388617e-05,0.03752173039910231,0.0,0.0,5.205725320730724,5.726297852803797
7,200,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,6.08885097203011e-07,1.7611008499535628e-06,0.007435919076234976,5.2865005761945916e-05,0.039582737236595195,5.205725320730724,5.726297852803797
8,200,Closed-form,,,,,0.0,5.1951661299716e-05,0.041694216402172635,0.0,0.0,5.190860850194362,5.709946935213798
8,200,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,4.5586750120427794e-07,2.6119318041066975e-06,0.017465235024721415,5.4564119223840274e-05,0.042384510842591316,5.190860850194362,5.709946935213798
9,200,Closed-form,,,,,0.0,3.991606548563105e-05,0.031581734736175315,0.0,0.0,5.203446908688174,5.723791599556992
9,200,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,5.543003748389274e-07,1.1729869130637522e-06,0.01085668924453953,3.9978579047857226e-05,0.030210474620633976,5.203446908688174,5.723791599556992
10,200,Closed-form,,,,,0.0,5.415314248998033e-05,0.0351816346237539,0.0,0.0,5.2073864906047325,5.728125139665206
10,200,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,8.255349129751658e-07,4.470162719538703e-06,0.022424222260744253,6.130733707510417e-05,0.0404607913638938,5.2073864906047325,5.728125139665206
11,200,Closed-form,,,,,0.0,4.576447426891767e-05,0.03415574046717518,0.0,0.0,5.207548707104562,5.728303577815018
11,200,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,1.4061712987121917e-06,3.6308291282094025e-06,0.017969311505586893,4.7491843070106514e-05,0.03750619265055222,5.207548707104562,5.728303577815018
12,200,Closed-form,,,,,0.0,4.8765651494242585e-05,0.03715013834056158,0.0,0.0,5.195528741067938,5.715081615174732
12,200,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,8.465870806398332e-07,2.0054168924263745e-06,0.010815696150095144,4.973911958972657e-05,0.036511111702698607,5.195528741067938,5.715081615174732
13,200,Closed-form,,,,,0.0,5.53775268929187e-05,0.038234235475030465,0.0,0.0,5.207445075856784,5.728189583442463
13,200,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,1.319332941273808e-06,2.9410780714571774e-06,0.01257584366205422,5.686419823355072e-05,0.03898554152525158,5.207445075856784,5.728189583442463
14,200,Closed-form,,,,,0.0,5.027535865890924e-05,0.04099344435209484,0.0,0.0,5.2062338395131995,5.72685722346452
14,200,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,5.172779452483896e-07,9.998031888646462e-07,0.007605494290621073,4.8951403499314676e-05,0.04038100363218211,5.2062338395131995,5.72685722346452
15,200,Closed-form,,,,,0.0,5.932351627607902e-05,0.04072555407936718,0.0,0.0,5.207480466716713,5.728228513388385
